exp_id,timestamp,dataset_version,experiment_type,horizon,model_name,hyperparameters,metrics,baseline_metrics,train_size,test_size,notes
599528f4,2026-03-01 15:08:22,synthetic_dataset_v1,lexicon,0,hybrid_lexicon,"{""global_min_freq"": 5, ""user_min_freq"": 3, ""k"": 10, ""train_ratio"": 0.8}","{""MAE"": 2.2287760097807245, ""R2"": 0.3709705262593993, ""correlation"": 0.9493515514868947}","{""MAE_baseline"": 2.935284509469856}",4000,1000,First official run on frozen dataset v1
48d09f0b,2026-03-01 15:24:05,synthetic_dataset_v1,forecasting,3,linear_regression,"{""features"": [""lag_1"", ""lag_2"", ""rolling_3"", ""rolling_7"", ""rolling_14"", ""sin_time"", ""cos_time""], ""train_ratio"": 0.8, ""model"": ""LinearRegression""}","{""MAE"": 0.27127118818073576}","{""MAE_baseline"": 0.9061690962060204}",,,Forecasting benchmark on frozen dataset v1
7c4ac7b4,2026-03-01 15:24:05,synthetic_dataset_v1,forecasting,7,linear_regression,"{""features"": [""lag_1"", ""lag_2"", ""rolling_3"", ""rolling_7"", ""rolling_14"", ""sin_time"", ""cos_time""], ""train_ratio"": 0.8, ""model"": ""LinearRegression""}","{""MAE"": 0.1469115937684164}","{""MAE_baseline"": 0.28165396952954497}",,,Forecasting benchmark on frozen dataset v1
7ea40d96,2026-03-01 15:24:05,synthetic_dataset_v1,forecasting,14,linear_regression,"{""features"": [""lag_1"", ""lag_2"", ""rolling_3"", ""rolling_7"", ""rolling_14"", ""sin_time"", ""cos_time""], ""train_ratio"": 0.8, ""model"": ""LinearRegression""}","{""MAE"": 0.09068043638856893}","{""MAE_baseline"": 0.6510196667093168}",,,Forecasting benchmark on frozen dataset v1
883016f5,2026-03-01 15:44:10,synthetic_dataset_v1,forecasting,3,linear_regression,"{""features"": [""lag_1"", ""lag_2"", ""rolling_3"", ""rolling_7"", ""rolling_14"", ""sin_time"", ""cos_time""], ""train_ratio"": 0.8, ""model"": ""LinearRegression""}","{""MAE"": 0.27127118818073576}","{""MAE_baseline"": 0.9061690962060204}",,,Forecasting benchmark on frozen dataset v1
49cb3c47,2026-03-01 15:44:10,synthetic_dataset_v1,forecasting,7,linear_regression,"{""features"": [""lag_1"", ""lag_2"", ""rolling_3"", ""rolling_7"", ""rolling_14"", ""sin_time"", ""cos_time""], ""train_ratio"": 0.8, ""model"": ""LinearRegression""}","{""MAE"": 0.1469115937684164}","{""MAE_baseline"": 0.28165396952954497}",,,Forecasting benchmark on frozen dataset v1
fabac6cc,2026-03-01 15:44:10,synthetic_dataset_v1,forecasting,14,linear_regression,"{""features"": [""lag_1"", ""lag_2"", ""rolling_3"", ""rolling_7"", ""rolling_14"", ""sin_time"", ""cos_time""], ""train_ratio"": 0.8, ""model"": ""LinearRegression""}","{""MAE"": 0.09068043638856893}","{""MAE_baseline"": 0.6510196667093168}",,,Forecasting benchmark on frozen dataset v1
99e96523,2026-03-01 15:44:35,synthetic_dataset_v1,lexicon,0,hybrid_lexicon,"{""global_min_freq"": 5, ""user_min_freq"": 3, ""k"": 10, ""train_ratio"": 0.8}","{""MAE"": 2.2287760097807245, ""R2"": 0.3709705262593993, ""correlation"": 0.9493515514868947}","{""MAE_baseline"": 2.935284509469856}",4000,1000,First official run on frozen dataset v1
387c7127,2026-03-01 16:26:55,synthetic_dataset_v1,delta,7,tfidf_ridge,"{""vectorizer"": ""TFIDF"", ""max_features"": 5000, ""alpha"": 1.0}","{""MAE"": 1.9966977366338243, ""R2"": 0.17181889872746448}","{""MAE_baseline"": 1.9641936042207837}",3940,990,Text-only delta prediction
9ac2309b,2026-03-01 17:13:19,synthetic_dataset_v1,delta,7,tfidf_ridge,"{""vectorizer"": ""TFIDF"", ""max_features"": 5000, ""alpha"": 1.0}","{""MAE"": 1.9966977366338243, ""R2"": 0.17181889872746448}","{""MAE_baseline"": 1.9641936042207837}",3940,990,Text-only delta prediction
73fb2a68,2026-03-01 17:37:19,synthetic_dataset_v2,delta,7,tfidf_ridge,"{""vectorizer"": ""TFIDF"", ""max_features"": 5000, ""alpha"": 1.0}","{""MAE"": 1.833350314583103, ""R2"": 0.14718477097351468}","{""MAE_baseline"": 1.8514487583842623}",3940,990,Text-only delta prediction
25bc5458,2026-03-01 17:54:06,synthetic_dataset_v2,delta,7,tfidf_ridge,"{""vectorizer"": ""TFIDF"", ""max_features"": 5000, ""alpha"": 1.0}","{""MAE"": 1.833350314583103, ""R2"": 0.14718477097351468}","{""MAE_baseline"": 1.8514487583842623}",3940,990,Text-only delta prediction
4ccfa0a2,2026-03-01 17:54:11,synthetic_dataset_v2,delta,7,lexicon_delta,"{""global_min_freq"": 5, ""user_min_freq"": 3, ""k"": 10}","{""MAE"": 1.8136566620519265, ""R2"": 0.1427889410017099}","{""MAE_baseline"": 1.8514487583842623}",3940,990,Lexicon-based delta prediction
